abnj_box,region,note
CCZ,Clarion-Clipperton Zone,Existing enum — mining/research neighbourhood
Reykjanes Ridge,North Atlantic,Existing enum
Clarion-Clipperton South,Pacific,Existing enum
Mid-Atlantic Splashdown Corridor,Central North Atlantic ABNJ,Rocket stage / capsule controlled re-entry corridor
NE Atlantic Mesopelagic Belt,NEAFC-adjacent high seas,Mesopelagic fishery exploratory area outside clear RFMO stock management
North Atlantic OAE Trial Box,Open North Atlantic,Ocean alkalinity enhancement / mCDR trial
Sargasso Sea Core,Western North Atlantic,ABMT/MPA candidate + pending MGR transect
Costa Rica Thermal Dome,Eastern Tropical Pacific,ABMT/MPA candidate
Central Indian Ridge,Central Indian Ocean ABNJ,Hydrothermal vent MGR / MSR / ABMT stub
Tonga-Kermadec Arc,Southwest Pacific ABNJ,Secretariat-assisted SIDS MGR notice
Southern Ocean Polar Front,Circumpolar ABNJ,Restricted eDNA + observatory-cable EIA spine
