seed_key,party_code,title,abnj_box,scenario,screening_outcome,progress,summary,source_ids,zotero_key,artifact_label,artifact_url,confidentiality,notes
eia-rocket-splashdown,XSD,Controlled re-entry / splashdown corridor — Mid-Atlantic ABNJ,Mid-Atlantic Splashdown Corridor,rocket_launch_touchdown,eia_required,screening+notice+draft_published,Commercial launch provider proposes routine stage/capsule splashdown in ABNJ; screening finds potential for substantial pollution / harmful changes → EIA required.,SRC-ZOT-SPACE,U7EHXJMV,Literature note — De Lucia & Guo 2026,https://doi.org/10.1163/15718085-20261023,public,Demo activity inspired by Zotero U7EHXJMV; fictional operator/Party
eia-rocket-neighbour,XSD,Range-safety telemetry buoy — Mid-Atlantic splashdown corridor,Mid-Atlantic Splashdown Corridor,rocket_neighbour,no_eia,screening_published,Short-duration range-safety telemetry buoy in the same corridor box — neighbourhood density for the splashdown storyline.,,,,,public,Published neighbour (≥2 EIA per demo AbnjBox)
eia-marine-cdr-oae,XSD,Ocean alkalinity enhancement pilot — North Atlantic trial box,North Atlantic OAE Trial Box,marine_cdr,eia_required,screening+notice+draft_pending,Ship-based alkaline feedstock dispersal pilot for mCDR; cumulative impacts and monitoring design under consultation.,SRC-ZOT-MCDR;SRC-ZOT-CDR-VID,TU7WCKWE,Literature note — Burns & Webb 2026,https://doi.org/10.1163/22116001-04001-009,public,Inspired by Zotero TU7WCKWE / P2UZYA3X
eia-marine-cdr-neighbour,XSD,Baseline carbonate chemistry transect — North Atlantic OAE box,North Atlantic OAE Trial Box,mcdr_neighbour,no_eia,screening_published,Ship transect measuring carbonate chemistry baselines ahead of any OAE pilot — neighbourhood density for the mCDR box.,,,,,public,Published neighbour (≥2 EIA per demo AbnjBox)
eia-mesopelagic-fishery,XSD,Exploratory mesopelagic trawl fishery — NE Atlantic high seas,NE Atlantic Mesopelagic Belt,mesopelagic_fisheries,eia_required,screening_published_only,Exploratory midwater trawl for mesopelagic forage; activity argued outside clear single-RFMO stock measures — BBNJ EIA pathway demo.,SRC-ZOT-MESO,6K6WPBFQ,"IASS report — Gjerde, Wright, Durussel 2021",https://doi.org/10.48440/IASS.2021.001,public,Inspired by Zotero 6K6WPBFQ; emphasise RFMO gap / not-undermine care in UI copy
eia-mesopelagic-neighbour,XSD,Acoustic biomass survey — NE Atlantic mesopelagic belt,NE Atlantic Mesopelagic Belt,meso_neighbour,no_eia,screening_published,Non-extractive acoustic biomass survey in the same belt — neighbourhood density for the mesopelagic storyline.,,,,,public,Published neighbour (≥2 EIA per demo AbnjBox)
eia-no-eia-buoy,XSD,Short-term research buoy deployment — Reykjanes Ridge,Reykjanes Ridge,research_buoy,no_eia,screening_published,Temporary instrumented buoy < threshold; Art 31 no-EIA pack published for neighbourhood density.,,,,,public,Keeps Art 31 no_eia path populated alongside new scenarios
eia-cable-southern,XSD,Subsea observatory cable — Southern Ocean Polar Front,Southern Ocean Polar Front,research_cable,eia_required,screening+notice+draft+decision+monitoring,Research-only observatory cable and junction box on the Polar Front; screening finds potential for benthic disturbance → EIA required. Decision with conditions and a first monitoring pack sit on the same record.,,,,,public,Full Part IV spine including Arts 34/37 decision and 37–40 monitoring; fictional operator
eia-cable-southern-neighbour,XSD,Moored sediment trap — Southern Ocean Polar Front,Southern Ocean Polar Front,cable_neighbour,no_eia,screening_published,Short-duration sediment trap in the same Polar Front box — neighbourhood density.,,,,,public,Published neighbour (≥2 EIA per demo AbnjBox)
eia-vent-indian,XSD,Vent-field scientific sampling — Central Indian Ridge,Central Indian Ridge,hydrothermal_msr,eia_required,screening+notice+draft_pending,Scientific sampling at an active vent field; draft EIA pending Secretariat publish.,,,,,public,Plausible MSR in ABNJ; not an ISA activity
eia-vent-indian-neighbour,XSD,Water-column CTD grid — Central Indian Ridge,Central Indian Ridge,vent_neighbour,no_eia,screening_published,Non-extractive CTD grid in the same ridge box — neighbourhood density.,,,,,public,Published neighbour (≥2 EIA per demo AbnjBox)
